Case Number,Date/Time Opened,Term,Incident Group,Operational Directorate,Principal Network Name,Primary Category,Primary Sub-Category,Secondary Category,Summary of the Incident (External Distribution),Incident Priority Rating,Incident Occurred
S-2021-185906,9/11/2021 9:49,Term 4,Violence,Regional South,Camden,Assault,,,Executive employee reports student involved in a physical altercation on school grounds. First aid applied. Parents contacted and collected the students. Police to be contacted. Executive staff are aware.,1,On workplace grounds
S-2021-185924,9/11/2021 10:01,Term 4,Emergency Situation,Regional South,Macarthur,Utility Failure,,,"An employee reports a utility failure on school grounds. The school will remain operational. Stakeholders have been informed and Director, Educational Leadership have been advised.",1,On workplace grounds
S-2021-186073,9/11/2021 10:57,Term 4,Violence,Regional North,Hawkesbury,Assault,,,Employee reports ####  students were involved in a physical altercation on school grounds. First aid administered. Parents contacted and conveyed student to the hospital. Director Educational Leadership to be notified.,1,On workplace grounds
S-2021-186205,9/11/2021 11:57,Term 4,Welfare,Metropolitan South and West,St Andrews,Self Harm,,,"An executive staff member reports that a student had #####ed on school grounds. First aid was provided. Emergency services were contacted. Parents were notified. The student was conveyed to hospital by ambulance. Support is in place. #### reporting will be followed. The school is managing the matter. Director, Educational Leadership will be informed.",1,On workplace grounds
S-2021-186208,9/11/2021 11:58,Term 4,Emergency Situation,Rural North,Grafton,Utility Failure,,,Employee reports utility failure of telephone in the school grounds due to some grounds work. School's internet connection remains working. School remains operational. Executive staff members are aware. Service provider will be called.,1,On workplace grounds
S-2021-186227,9/11/2021 12:11,Term 4,Weapon,Regional North,Hawkesbury,Possession of a Weapon,,,Employee reports an incident on school grounds involving a student due to possession of a weapon. The weapon has been secured. Police have been notified. Parents have been notified. Media unit has been notified. Director of educational leadership is aware.,1,On workplace grounds
S-2021-186354,9/11/2021 13:14,Term 4,Welfare,Metropolitan North,The Ponds,Student Welfare Concerns,Absconding / Missing Student,,"Executive employee reports #### students absconded from school grounds. Carers were notified. Students are still missing. Director, Educational Leadership has been made aware",1,On workplace grounds
S-2021-186418,9/11/2021 13:36,Term 4,Violence,Metropolitan South,Chullora,Indecent Assault,,,Staff member reports alleged #### behavior of students in class. #### reporting followed. Supports are in place. Executive staff are aware. ######,1,On workplace grounds
S-2021-186466,9/11/2021 14:00,Term 4,Violence,Regional South,Camden,Indecent Assault,,Problematic and Harmful Sexualised Behaviour,"An executive staff member reports inappropriate behaviour by students on and off school grounds. No first aid was required. Parents of impacted students have been notified and the parent of the student involved will be contacted. Supports have been implemented for all student involved. #### Reporting has been completed. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2021-186599,9/11/2021 14:58,Term 4,Violence,Metropolitan North,The Forest,Assault,,Suicidal Intentions,"An executive staff member reports a student physically assault another student on school grounds, and expressed #### intentions. The injured student responded with verbal threats of harm with a weapon. First aid was administered and the injured student was conveyed to the hospital by parents. Police are investigating the matter. #### reporting will be followed and the Media unit will be notified. Supports are in place for impacted staff members.",1,On workplace grounds
