Case Number,Date/Time Opened,Term ,Incident Group,Operational Directorate,Principal Network Name,Primary Category,Primary Sub-Category,Secondary Category,Summary of the Incident (External Distribution),Incident Priority Rating,Incident Occurred
S-2023-455269,6/04/2023 13:27,Term 1,Violence,Metropolitan South and West,Glenfield,Threat / Intimidation / Offens. Conduct,,,An employee reports concerns after a student displayed threatening behaviour towards them on school grounds. No physical injuries sustained. Supports to be implemented. School is managing the matter. Executive staff aware.,1,On workplace grounds
S-2023-455324,6/04/2023 13:42,Term 1,Welfare,Metropolitan South and West,Liverpool,Problematic and Harmful Sexualised Behaviour,,,"An executive staff member reports student welfare concerns following an incident of problematic and harmful ##### behaviour on school grounds. Parents have been notified. ##### has been followed. Supports are in place. Director, Educational Leadership is aware. ####### ",1,On workplace grounds
S-2023-455336,6/04/2023 13:45,Term 1,Welfare,Metropolitan South,Parramatta,Suicidal Intentions,,,An employee reports welfare concerns following a disclosure on school grounds. Police will be contacted. Supports are in place. Executive staff will be advised.,1,On workplace grounds
S-2023-455347,6/04/2023 13:48,Term 1,Violence,Regional South,Yass,Threat / Intimidation / Offens. Conduct,,Student Behaviour,Executive staff reports a student displayed #######  behaviour after threatening staff on school grounds. No injuries were sustained. Carers were notified and attended the school. Police were notified and removed the student. Supports are available. Director Educational Leadership is aware.,1,On workplace grounds
S-2023-455431,6/04/2023 14:12,Term 1,Welfare,Regional North and West,Mudgee,Problematic and Harmful Sexualised Behaviour,,,"An executive staff member reports student welfare concerns following an incident of problematic and harmful ##### behaviour on school grounds. Parents have been notified. ##### has been followed. Supports are in place. Director, Educational Leadership is aware. ####### ",1,On workplace grounds
S-2023-455458,6/04/2023 14:16,Term 1,Violence,Regional North and West,Hastings,Assault,,Problematic and Harmful Sexualised Behaviour,"An executive staff member reports a student disclosed allegations of inappropriate behaviour from another student on school grounds. Police were contacted. Parents are aware. ##### was followed. Director, Educational Leadership is aware.",1,On workplace grounds
S-2023-455511,6/04/2023 14:32,Term 1,Welfare,Regional North and West,Great Lakes,Self Harm,,Suicidal Intentions,An executive staff member reports a student#######  on school grounds. Ambulance and police were notified. Student has been conveyed to hospital for further treatment. Carer has been notified and ##### has been followed. Director of Educational Leadership has been notified and school is currently managing the matter.,1,On workplace grounds
S-2023-455542,6/04/2023 14:41,Term 1,Welfare,Rural North,Clarence Valley,Problematic and Harmful Sexualised Behaviour,,,"An executive staff member reports a student displayed inappropriate behaviour towards another student on school grounds. No injuries sustained. Parents were notified. ##### to be followed. Director, Educational Leadership to be notified.",1,On workplace grounds
S-2023-455580,6/04/2023 14:52,Term 1,Violence,Regional North and West,Maitland,Assault,,Located Weapon,"An Executive staff member reports ##### students were involved in a physical altercation after##### student had located a weapon on school grounds. First aid was administered. Parents have been notified. Supports are in place. Director, Educational, Leadership has been made aware.",1,On workplace grounds
S-2023-455611,6/04/2023 14:59,Term 1,Welfare,Rural South and West,Albury,Student Behaviour,,,An employee reports that a student physically impacted another student on school grounds. First aid was administered. Parents were notified. Media unit will be notified. Executive staff have been notified.,1,On workplace grounds
S-2023-455733,6/04/2023 15:31,Term 1,Violence,Regional North and West,Wambuul-Macquarie,Assault,,,"An executive staff member reports ##### students physically assaulted ##### other students on school grounds. First aid was administered. Ambulance was called and the #######  students were assessed by paramedics onsite. Parents have been contacted. Supports are in place for the students involved. Police were called and they attended. Director, Educational Leadership will be notified.",1,On workplace grounds
