Case Number,Date/Time Opened,Term ,Incident Group,Operational Directorate,Principal Network Name,Primary Category,Primary Sub-Category,Secondary Category,Summary of the Incident (External Distribution),Incident Priority Rating,Incident Occurred
S-2020-320126,14/08/2020 8:05,Term 3,Violence,Metropolitan South,Bondi,Indecent Assault,,Problematic and Harmful #### ised Behaviour,"A student has inappropriately touched XXXX students on school grounds. Executive staff were notified by parents. Internal notifications have been made and supports are in place. 
",1,On workplace grounds
S-2020-320181,14/08/2020 8:24,Term 3,Violence,Rural South and West,Wagga Wagga,Assault,,,"A student has xxxxx assaulted an employee causing injury to the xxxxx while at an offsite activity. Executive staff were notified who contacted parents. Police and ambulance were contacted and the employee was conveyed to hospital for further medical attention. The employee will be xxxxx xxxxx due to the injury sustained. Internal notifications have been made and the Director, Educational Leadership has been notified.",1,Off site activity
S-2020-320552,14/08/2020 10:05,Term 3,Welfare,Metropolitan South & South West,Cowpasture,Attempted Suicide,,,"A student attempted suicide on school grounds.  Parent and ambulance were called. The student's parent arrived onsite and the ambulance is expected shortly. Supports are in place for the student and staff. Executive staff are aware. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2020-320827,14/08/2020 10:58,Term 3,Violence,Metropolitan North,Cambridge Park,Indecent Assault,,,Executive staff member reports that a student has allegedly been indecently assaulted by another student on school grounds. Parents are aware. #### has been followed and support will be put in place.,1,On workplace grounds
S-2020-320847,14/08/2020 11:05,Term 3,Violence,Regional South,Camden,Indecent Assault,,,"Executive staff member reports that a student has allegedly been indecently assaulted by another student on school grounds. Parents are aware. #### has been followed and support will be put in place. Director, Educational Leadership will be informed. ",1,On workplace grounds
S-2020-320862,14/08/2020 11:05,Term 3,Violence,Metropolitan South,Chullora,Assault,,,Parents of a student escalated during a xxxxx with the Principal over a incident where they alleged their child was allegedly assaulted by a xxxxx xxxxx. The Principal will discuss the matter further with the Director.,1,On workplace grounds
S-2020-320889,14/08/2020 11:11,Term 3,Violence,Metropolitan North,Ryde,Indecent Assault,,,It is alleged that a student has inappropriately touched another student on school grounds. Additional inappropriate behaviours by the  student are also reported.  #### was followed. ,1,On workplace grounds
S-2020-321192,14/08/2020 12:28,Term 3,Emergency Situation,Metropolitan North,Ryde,Utility Failure,,,The school has switched off the gas due to a detected gas leak. A gas plumber has been arranged to attend and resolve the issue on Monday.,1,On workplace grounds
S-2020-321222,14/08/2020 12:36,Term 3,Violence,Regional North,Blue Mountains,Assault,,,"An executive staff member, employee and student have been injured by a student in a heightened state. The school was placed into lockdown. Parent and Police were called. The parent attended the school and collected the student. The school was xxxxx from lockdown and normal operations continued. First aid was administered to the student affected. Parents of the student were notified, the student has xxxxx on school grounds. First aid was not sought for executive staff or employee. Police attended. The school is managing the matter. Supports are in place. Director, Educational leadership will be made aware.",1,On workplace grounds
S-2020-321361,14/08/2020 13:18,Term 3,Violence,Regional North,Cessnock,Assault,,,An executive reports that xxxxx students have attempted a xxxxx xxxxx xxxxx resulting in an injury. First aid was administered and the student was transported to hospital. The Principal managed the matter and supports are in place.,1,On workplace grounds
S-2020-321700,14/08/2020 14:48,Term 3,Violence,Metropolitan South,Girraween,Indecent Assault,,,Executive staff report of student welfare concerns regarding an incident that has occurred off school grounds. Parent will be informed. Supports are in place for student involved.,1,On workplace grounds
S-2020-321818,14/08/2020 15:11,Term 3,Violence,Regional North,Tuggerah Lakes,Assault,,,xxxxx students were involved in a physical altercation on school grounds. One student sustained xxxxx injuries and first aid was administered. The injured student was conveyed to hospital by parents. Executive staff were notified and internal notifications have been made.,1,On workplace grounds
S-2020-321833,14/08/2020 15:13,Term 3,Violence,Regional North,Port Stephens,Assault,,Problematic and Harmful Sexualised Behaviour,A student sent another student inappropriate images via a social media network. The student assaulted the student after they had xxxxx the images to other xxxxx. No first aid was administered. Parents have been notified. The school are managing the matter and supports are in place. Mandatory reporting has been followed. Executive staff are aware.,1,On workplace grounds
S-2020-322415,17/08/2020 8:09,Term 3,Violence,Metropolitan North,Cambridge Park,Indecent Assault,,Problematic and Harmful #### ised Behaviour,A student has inappropriately touched another student while on school grounds. Executive tsaff were notified by impacted students parent. Internal notifications have been made and supports are in place.  ,1,On workplace grounds
S-2020-322952,17/08/2020 10:50,Term 3,Violence,Metropolitan North,The Forest,Indecent Assault,,Problematic and Harmful #### ised Behaviour,A student has inappropriately touch another student over clothing while on school grounds. Executive staff were notified who contacted parents. Internal notifications have been made and supports are in place. ,1,On workplace grounds
S-2020-323010,17/08/2020 11:06,Term 3,Violence,Metropolitan South,Iron Cove,Indecent Assault,,Problematic and Harmful #### ised Behaviour,A student has inappropriately touched another student while on school grounds. Executive staff were notified who contacted parents. Internal notifications have been made and supports are in place.  ,1,On workplace grounds
