Case Number,Date/Time Opened,Term ,Incident Group,Operational Directorate,Principal Network Name,Primary Category,Primary Sub-Category,Secondary Category,Summary of the Incident (External Distribution),Incident Priority Rating,Incident Occurred
S-2022-295661,10/10/2022 9:02,Term 4,Emergency Situation,Rural North,Namoi,Flood,,,"An Executive reports the school will ne non operational due to flooding. School community and Director, Educational Leadership are aware.",1,On workplace grounds
S-2022-295665,10/10/2022 9:09,Term 4,Emergency Situation,Regional South,Wollondilly,Utility Failure,,,Staff member reports of a utility failure on school grounds. External agency has been contacted to rectify the issue. School is managing the matter. Executive staff are aware.,1,On workplace grounds
S-2022-295697,10/10/2022 9:40,Term 4,Emergency Situation,Rural South and West,Hume,Flood,,,"An executive staff member reports the school will be operational but learning from home due to flooding. No injuries to staff or students. Staff members and parents were aware. Supports are in place. School continues to manage the matter. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-295724,10/10/2022 10:18,Term 4,Violence,Metropolitan South,Georges River,Assault,,,An employee and parent has sustained an injury on school grounds after being physically assaulted by a student in ##### state. First aid administered to parent. Emergency services contacted and attended. Student transported via ambulance to hospital for medical treatment. School managing the matter. Executive staff are aware,1,On workplace grounds
S-2022-295754,10/10/2022 10:54,Term 4,Weapon,Metropolitan North,Mount Druitt,Possession of a weapon,,,"An executive staff member reports a student was found in possession of a ##### on school grounds. The ##### was confiscated. No injuries sustained. Parents were contacted. Police will be notified. The school is continuing to manage the matter. Supports are in place. The Director, Educational Leadership will be made aware",1,On workplace grounds
S-2022-295802,10/10/2022 11:39,Term 4,Emergency Situation,Rural South and West,Mitchell,Flood,,,"An Executive staff member reports the school is non-operational on ##### due to flood. The school community has been advised. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-295810,10/10/2022 11:51,Term 4,Violence,Regional North,Lake Macquarie East,Assault,,Malicious Damage,"Executive staff report a student has verbally abused multiple staff and physically assaulted a staff member before causing damage to school property. Student left school grounds with Parent. Police contacted. No first aid administered. School is managing the matter and supports are in place. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2022-295853,10/10/2022 12:38,Term 4,Welfare,Rural South and West,Queanbeyan,Student Behaviour,,Staff Welfare Concerns,Executive staff report of student behaviour concerns regarding an incident that had occurred on school grounds. No injuries were sustained. Fire Brigade was contacted and attended. Parents were notified.,1,On workplace grounds
S-2022-295903,10/10/2022 13:11,Term 4,Violence,Metropolitan South,Georges River,Assault,,,An employee reports an injury sustained after being assaulted by a student on school grounds. First aid was administered and the employee remained at school. Parents were notified and the school will manage the matter. Support was provided and executive staff are aware.,1,On workplace grounds
S-2022-295918,10/10/2022 13:20,Term 4,Emergency Situation,Rural South and West,Wagga Wagga,Flood,,,Executive staff member reports the school will be non operational due to flooding in the area. School community and staff have been advised. Director Educational Leadership has been notified.,1,On workplace grounds
S-2022-295930,10/10/2022 13:29,Term 4,Emergency Situation,Metropolitan North,Hornsby,Utility Failure,,,"Executive staff reports a utility failure in an area of the school. Emergency services were contacted and attended. Internal stakeholders have been notified. A contractor will arrive at school to assess the matter. The school remains fully operational. Director, Educational Leadership will be notified",1,On workplace grounds
S-2022-296043,10/10/2022 14:51,Term 4,Weapon,Regional North and West,Macquarie,Possession of a weapon,,,"Executive staff member reports of a student in possession of a ##### on school grounds. No staff or students injured. Parents notified. Police will be contacted. Director, Educational Leadership will be advised.",1,On workplace grounds
S-2022-296081,10/10/2022 15:02,Term 4,Violence,Rural North,Grafton,Indecent Assault,,,"An Executive staff member reports a student disclosed an allegation of ##### assault. Parents have been notified. Supports are in place. ##### has been followed. Director, Educational Leadership will be made aware.",1,On workplace grounds
S-2022-296086,10/10/2022 15:10,Term 4,Weapon,Regional South,Batemans Bay,Possession of a weapon,,,"An executive staff member reports a student was in possession of ##### of ##### on school grounds, which has been confiscated and secured. No threats were made. Parents and Police were notified. The school is managing the matter. Supports are in place for the student. Director, Educational Leadership will be advised",1,On workplace grounds
S-2022-296196,10/10/2022 16:25,Term 4,Violence,Connected Communities,Connected Communities Team 1,Threat / Intimidation / Offens. Conduct,,Student Behaviour,"Executive staff report staff wellbeing concerns following threats made by a student on school grounds. Supports are in place. Director, Educational Leadership to be notified.",1,On workplace grounds
S-2022-296228,10/10/2022 16:58,Term 4,Emergency Situation,Rural North,Mooki,Flood,,,"An Executive staff member reports the school will be non-operational on the ##### due to flooding in the area. Director, Educational Leadership has be notified.",1,On workplace grounds
S-2022-296331,11/10/2022 9:04,Term 4,Emergency Situation,Rural North,Western Plains,Utility Failure,,,"An Executive staff member reports a utility failure on school grounds. Internal stakeholders have been notified. A contractor will attend the school to assess the matter. The school remains operational and will continue to manage the matter. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2022-296339,11/10/2022 9:13,Term 4,Emergency Situation,Rural North,Western Plains,Flood,,,"An Executive staff member reports the school is non-operational today due to the floods. The school community has been advised. Director, Educational Leadership has been notified.",1,On workplace grounds
